token,sum_abs_weight
2025,0.012314497806537397
Stage,0.012276827918606705
Zepeto,0.012066982864776473
ญตน,0.01193485838598189
พร,0.011606846588209064
อส,0.011580558002778579
ลากห,0.011456917075410522
บของป,0.011254659524675747
Official,0.011063473459319179
ชอบกระท,0.01103115648191183
งสร,0.01102109183131274
วเป,0.010982284063012058
GREEDY,0.010909994153547164
เขาถ,0.010843159575121818
Gildur,0.010741256228207508
งในก,0.010671834821326814
บำเพ,0.01060233909852061
Desailly,0.010324698399708352
วาซาบ,0.010212121387179479
งความหล,0.009929451225870748
ดตกปลาแกล,0.009747571795857753
ไทยเข,0.009609284331354932
Arena,0.009572005074427943
เจอพล,0.009511253553161847
station,0.009434135229301763
16,0.009328845004818362
คใหม,0.009279968214384095
บของกวาง,0.009232349109162881
ซ,0.009200043660165197
มะเด,0.00916075601357667
ดอะไรอ,0.009040769013798732
Melody,0.009036320567586504
โรบล,0.008663612547958742
มยำก,0.00861955934447417
บพร,0.0084975821425073
Stream,0.008463818353112084
บ,0.008435955990921475
อกเร,0.00838867611730711
VR,0.008337508712861217
โซบ,0.008270410002616234
Ost,0.00794155541790624
ALIE,0.007932659964324653
บในบทเพลงท,0.007620693843582088
ทำไป,0.007592886935258026
Pink,0.007488266535948219
และ,0.00739342059347858
BLACKCOBRA,0.00730320928566299
คเก,0.007296895936105616
VS,0.007175226987991081
ฟ,0.00715913984586034
lava,0.007029327717116429
Women,0.007016285478187123
Slam,0.006674555711166886
ส,0.006295061463285013
งเกม,0.006175437697709695
เซ,0.006126023055166102
Cafu,0.006007969863458415
Vieira,0.005969366761904066
ณพ,0.005790408228153446
เกม,0.0057869086417537885
คจนกว,0.005760051520231353
ดหรรษา,0.005532467910319975
เร,0.005072273807572342
เทา,0.005050443441193932
train,0.0050260355275966685
เบ,0.004726239568091443
Light,0.0039906886913058555
ดแพ,0.0036872572190134335
อกซ,0.0035345061603221104
ตพ,0.003313519259994402
งท,0.0033014741265937004
of,0.003094657888872679
าน,0.0029714692391030716
นท,0.002959028113880579
บเพ,0.002888019494781661
าจะได,0.002644100464998196
ใช,0.0024874832119185265
HI,0.00212454381476151
คนเล,0.002067373831052654
END,0.0019619009752340614
1,0.001853616470436742
4,0.0018084739172012532
แต,0.0018065525420772526
waterfall,0.0015790654551807667
อมร,0.0015728206789503163
Video,0.001539393112649854
คร,0.0015248758076744772
แห,0.0006531150846636937
ด,0.00045863582972986624
แมพกระโดดต,0.0003821720604192594
LIVE,0.00030121925030944134
OPZTV,0.00018658803981729292
ในโรงแรมขนม,4.0725114369320865e-05
