example,title_idx,token,weight
18,1411,Slam,0.005937271740089892
18,1411,in,0.005449559607982263
19,1529,โคตรฮา,0.06494550065993951
19,1529,เกมพายเร,-0.05610197817198652
19,1529,องแตกคอก,0.034903717830745126
19,1529,บเพ,-0.018258568252820535
19,1529,อน,0.014669290116994811
19,1529,ค,-0.01281441340220998
19,1529,อ,-0.011650204832889765
19,1529,ท,0.011030020637453782
19,1529,ณจะต,-0.008684248231539238
19,1529,OPZTV,0.0012708720772175615
20,1556,Cooking,-0.05753798335212976
20,1556,ร,0.05461326028871496
20,1556,Clash,-0.05401549345442961
20,1556,ชอบกระท,0.03704060337096611
20,1556,านซ,0.03550167289709679
20,1556,วาซาบ,0.031682651890121885
20,1556,อนน,0.02672450858400718
20,1556,ช,0.023202445344537585
20,1556,กค,0.022726838857920536
20,1556,เผ,0.022495126667528703
21,1913,ทำไป,-0.03786639991994867
21,1913,บส,0.03671173657259264
21,1913,งก,0.03412605588212001
21,1913,เขาถ,0.0248591098842626
21,1913,บร,0.019831814449726502
21,1913,องไห,0.01702818425971238
21,1913,งท,-0.015502460526311695
21,1913,ก,-0.004250961896715096
22,1576,แฟนลากไปแข,-0.042980471854813976
22,1576,คข,0.031761770561198895
22,1576,นท,0.030982149310871322
22,1576,ตพ,0.02659843143830179
22,1576,แล,0.025428819384337314
22,1576,ว,0.010093315879986102
22,1576,วช,0.008247713638655603
22,1576,งเกม,0.006051691296797945
23,1751,บในบทเพลงท,0.03888186031604774
23,1751,Light,-0.030958233930893125
23,1751,Ost,-0.016920717465668082
23,1751,and,0.0162209554141162
23,1751,บรรเลงไม,-0.00979341156363324
23,1751,Dark,0.008095350486074512
23,1751,ความล,-0.007038831726245052
23,1751,ร,-0.005921548981016334
23,1751,จบ,-0.005442393511553619
23,1751,เทา,-0.004674881229908626
24,2694,าทำได,0.0800921157277691
24,2694,เราให,0.042132523480241574
24,2694,ถ,0.03425443693614831
24,2694,เลย,-0.008380026719767343
25,3247,Roblox,-0.09067594158802982
25,3247,Tomyum,0.05352016537252934
25,3247,นโดนยำซะเอง,0.03766075078821029
25,3247,คนเล,0.032751041978859946
25,3247,แต,0.030323314504070425
25,3247,มยำก,0.012951529233228874
25,3247,ง,0.011637228818766778
25,3247,แมพกระโดดต,-0.0026329579343373458
26,2507,โปเกม,0.06057074602573801
26,2507,คร,0.03829780059540279
26,2507,อน,0.018025578705314328
26,2507,ต,0.004060437737176422
26,2507,DLC,-0.00314690037059094
26,2507,บ,-0.0030146162649762123
26,2507,เทพซ,0.00192914442555643
26,2507,อส,0.0018996573079581682
26,2507,า,-0.0004891101286634586
27,2279,roblox,0.18350261680278568
27,2279,ต,-0.034402055064212345
27,2279,าา,0.028357670672533968
27,2279,ดอะไรอ,0.0025750900181539943
28,299,นสกปรก,0.07504562677274834
28,299,เขาเล,-0.028926386516554586
